"aid","paid","aname","aurl","enabled","last_modify_time","create_time"
"1","","黑名单","/app/blacklist","0","2017/6/28 06:45:58","2017/6/28 06:45:58"
"2","1","黑名单展示列表","/app/blacklist","0","2017/6/28 06:45:58","2017/6/28 06:45:58"
"3","1","黑名单删除","/app/blacklist/delete","0","2017/6/28 06:45:58","2017/6/28 06:45:58"
"4","1","黑名单保存","/app/blacklist/save","0","2017/6/28 06:45:58","2017/6/28 06:45:58"
"5","1","黑名单编辑","/app/blacklist/edit","0","2017/6/28 06:45:59","2017/6/28 06:45:59"
"6","","企业资质","/hr/compayqualification","0","2017/6/28 13:06:53","2017/6/28 13:06:53"
"7","6","企业资质列表","/hr/compayqualification","0","2017/6/28 13:06:53","2017/6/28 13:06:53"
"8","6","企业资质删除","/hr/compayqualification/delete","0","2017/6/28 13:06:53","2017/6/28 13:06:53"
"9","6","企业资质保存","/hr/compayqualification/save","0","2017/6/28 13:06:53","2017/6/28 13:06:53"
"10","6","企业资质编辑","/hr/compayqualification/edit","0","2017/6/28 13:06:53","2017/6/28 13:06:53"
"21","","Pad端模型字段配置","/kconf/padmodelfield","0","2017/7/11 22:26:11","2017/7/11 22:26:11"
"22","21","Pad端模型字段配置列表","/kconf/padmodelfield","0","2017/7/11 22:26:11","2017/7/11 22:26:11"
"23","21","Pad端模型字段配置删除","/kconf/padmodelfield/delete","0","2017/7/11 22:26:11","2017/7/11 22:26:11"
"24","21","Pad端模型字段配置保存","/kconf/padmodelfield/save","0","2017/7/11 22:26:11","2017/7/11 22:26:11"
"25","21","Pad端模型字段配置详情查看","/kconf/padmodelfield/view","0","2017/7/11 22:26:12","2017/7/11 22:26:12"
"26","21","Pad端模型字段配置编辑","/kconf/padmodelfield/edit","0","2017/7/11 22:26:12","2017/7/11 22:26:12"
"27","","Pad端模型配置表","/kconf/padmodel","0","2017/7/11 22:26:16","2017/7/11 22:26:16"
"28","27","Pad端模型配置表列表","/kconf/padmodel","0","2017/7/11 22:26:16","2017/7/11 22:26:16"
"29","27","Pad端模型配置表删除","/kconf/padmodel/delete","0","2017/7/11 22:26:16","2017/7/11 22:26:16"
"30","27","Pad端模型配置表保存","/kconf/padmodel/save","0","2017/7/11 22:26:16","2017/7/11 22:26:16"
"31","27","Pad端模型配置表详情查看","/kconf/padmodel/view","0","2017/7/11 22:26:16","2017/7/11 22:26:16"
"32","27","Pad端模型配置表编辑","/kconf/padmodel/edit","0","2017/7/11 22:26:17","2017/7/11 22:26:17"
"33","","年计划详情查看","/app/planyear/view","0","2017/7/11 22:26:21","2017/7/11 22:26:21"
"40","","PAD主页模块显示动态配置","/app/padmoduleconfig","0","2017/7/11 23:22:49","2017/7/11 23:22:49"
"41","40","PAD主页模块显示动态配置列表","/app/padmoduleconfig","0","2017/7/11 23:22:49","2017/7/11 23:22:49"
"42","40","PAD主页模块显示动态配置删除","/app/padmoduleconfig/delete","0","2017/7/11 23:22:49","2017/7/11 23:22:49"
"43","40","PAD主页模块显示动态配置保存","/app/padmoduleconfig/save","0","2017/7/11 23:22:49","2017/7/11 23:22:49"
"44","40","PAD主页模块显示动态配置详情查看","/app/padmoduleconfig/view","0","2017/7/11 23:22:49","2017/7/11 23:22:49"
"45","40","PAD主页模块显示动态配置编辑","/app/padmoduleconfig/edit","0","2017/7/11 23:22:50","2017/7/11 23:22:50"
"58","","反违章","/app/fwz","0","2017/11/3 13:53:22","2017/11/3 13:53:22"
"293","","权限控制","/kconf/linkauthority","0","2018/3/16 14:23:10","2018/3/16 14:23:10"
"294","","教育培训","/hr/education","0","2018/3/16 14:23:11","2018/3/16 14:23:11"
"295","294","教育培训列表","/hr/education","0","2018/3/16 14:23:11","2018/3/16 14:23:11"
"296","294","教育培训删除","/hr/education/delete","0","2018/3/16 14:23:12","2018/3/16 14:23:12"
"297","294","教育培训保存","/hr/education/save","0","2018/3/16 14:23:12","2018/3/16 14:23:12"
"298","294","教育培训详情查看","/hr/education/view","0","2018/3/16 14:23:12","2018/3/16 14:23:12"
"299","294","教育培训编辑","/hr/education/edit","0","2018/3/16 14:23:12","2018/3/16 14:23:12"
"300","","系统操作日志","/app/log","0","2018/3/16 14:23:12","2018/3/16 14:23:12"
"301","300","系统操作日志列表","/app/log","0","2018/3/16 14:23:12","2018/3/16 14:23:12"
"302","300","系统操作日志删除","/app/log/delete","0","2018/3/16 14:23:12","2018/3/16 14:23:12"
"303","300","系统操作日志保存","/app/log/save","0","2018/3/16 14:23:13","2018/3/16 14:23:13"
"304","300","系统操作日志详情查看","/app/log/view","0","2018/3/16 14:23:13","2018/3/16 14:23:13"
"305","300","系统操作日志编辑","/app/log/edit","0","2018/3/16 14:23:13","2018/3/16 14:23:13"
"306","","监督-到岗到位人员","/app/padjdperson","0","2018/3/16 14:23:13","2018/3/16 14:23:13"
"307","306","监督-计划到岗到位","/app/padjdperson","0","2018/3/16 14:23:13","2018/3/16 14:23:13"
"308","306","监督-到岗到位详情","/app/padjdperson/dgdwDetailList","0","2018/3/16 14:23:13","2018/3/16 14:23:13"
"309","","变更计划管理","/app/planweekchange","0","2018/3/16 14:23:14","2018/3/16 14:23:14"
"310","","","/app/conferencetask","0","2018/3/16 14:23:15","2018/3/16 14:23:15"
"311","","违章日志","/app/illegallog","0","2018/3/16 14:23:15","2018/3/16 14:23:15"
"312","311","违章日志列表","/app/illegallog","0","2018/3/16 14:23:15","2018/3/16 14:23:15"
"313","311","违章日志删除","/app/illegallog/delete","0","2018/3/16 14:23:15","2018/3/16 14:23:15"
"314","311","违章日志保存","/app/illegallog/save","0","2018/3/16 14:23:15","2018/3/16 14:23:15"
"315","311","违章日志详情查看","/app/illegallog/view","0","2018/3/16 14:23:15","2018/3/16 14:23:15"
"316","311","违章日志编辑","/app/illegallog/edit","0","2018/3/16 14:23:15","2018/3/16 14:23:15"
"323","","日志详细内容","/app/logdetail","0","2018/3/16 14:23:18","2018/3/16 14:23:18"
"324","323","日志详细内容列表","/app/logdetail","0","2018/3/16 14:23:18","2018/3/16 14:23:18"
"325","323","日志详细内容删除","/app/logdetail/delete","0","2018/3/16 14:23:18","2018/3/16 14:23:18"
"326","323","日志详细内容保存","/app/logdetail/save","0","2018/3/16 14:23:18","2018/3/16 14:23:18"
"327","323","日志详细内容详情查看","/app/logdetail/view","0","2018/3/16 14:23:18","2018/3/16 14:23:18"
"328","323","日志详细内容编辑","/app/logdetail/edit","0","2018/3/16 14:23:18","2018/3/16 14:23:18"
"383","","精益化检查任务","/jyh/xjjyhtask","0","2018/5/4 15:38:26","2018/5/4 15:38:26"
"384","383","精益化检查任务列表","/jyh/xjjyhtask","0","2018/5/4 15:38:26","2018/5/4 15:38:26"
"385","383","精益化检查任务删除","/jyh/xjjyhtask/delete","0","2018/5/4 15:38:26","2018/5/4 15:38:26"
"386","383","精益化检查任务保存","/jyh/xjjyhtask/save","0","2018/5/4 15:38:26","2018/5/4 15:38:26"
"387","383","精益化检查任务详情查看","/jyh/xjjyhtask/view","0","2018/5/4 15:38:26","2018/5/4 15:38:26"
"388","383","精益化检查任务编辑","/jyh/xjjyhtask/edit","0","2018/5/4 15:38:26","2018/5/4 15:38:26"
"389","","精益化评价-设备大类标准管理","/jyh/xjjyhpjbigtype","0","2018/5/4 15:38:27","2018/5/4 15:38:27"
"390","389","精益化评价-设备大类标准管理列表","/jyh/xjjyhpjbigtype","0","2018/5/4 15:38:27","2018/5/4 15:38:27"
"391","389","精益化评价-设备大类标准管理删除","/jyh/xjjyhpjbigtype/delete","0","2018/5/4 15:38:27","2018/5/4 15:38:27"
"392","389","精益化评价-设备大类标准管理保存","/jyh/xjjyhpjbigtype/save","0","2018/5/4 15:38:27","2018/5/4 15:38:27"
"393","389","精益化评价-设备大类标准管理详情查看","/jyh/xjjyhpjbigtype/view","0","2018/5/4 15:38:27","2018/5/4 15:38:27"
"394","389","精益化评价-设备大类标准管理编辑","/jyh/xjjyhpjbigtype/edit","0","2018/5/4 15:38:27","2018/5/4 15:38:27"
"395","","为解决xj_jyh_task表被多人修改，将要多人修改的字段放入扩展表内","/jyh/xjjyhtaskextend","0","2018/5/4 15:38:28","2018/5/4 15:38:28"
"396","395","为解决xj_jyh_task表被多人修改，将要多人修改的字段放入扩展表内列表","/jyh/xjjyhtaskextend","0","2018/5/4 15:38:28","2018/5/4 15:38:28"
"397","395","为解决xj_jyh_task表被多人修改，将要多人修改的字段放入扩展表内删除","/jyh/xjjyhtaskextend/delete","0","2018/5/4 15:38:28","2018/5/4 15:38:28"
