"mfid","mid","field_name","field_alias","type","is_system","list_view","list_sort","list_order","list_readonly","list_text","link_addr","link_attr","list_align","list_width","list_style","list_format","list_search_op","list_search_label","list_sql","form_sort","form_view","form_view_type","form_readonly","form_required","form_validate_type","form_max_length","form_min_length","form_chk_style","form_live_search","form_data_source","form_style","form_notes","import_data_sql","remark","settings","enabled","last_modify_time","create_time","data_toggle","data_url","data_group","data_width","data_title","data_height","list_search_style","list_search_sort","list_search_dateformat","list_search_extattr","list_search_width","chk_style","lookup_is_back","lookup_list_show","lookup_name","file_size_limit","file_type_exts","file_multi","file_auto","is_lock","file_rename"
"225","26","id","部门ID","BIGINT","true","false","0","0","0","","","","left","","","","","","","1","true","hidden","","false","","","","false","false","","","","","6YOo6ZeoSUQ=","","0","2016/12/22 15:09:44","2016/12/22 15:09:44","","","","","","","","","","","","","true","true","false","","","true","true","0","false"
"226","26","pid","上级部门","BIGINT","true","true","5","0","0","","","","left","","","","","","select dname from k_department where id = ?","2","true","hidden","","false","","","","false","false","/kconf/department/json","","","","5LiK57qn6YOo6Zeo","","0","2017/11/6 16:55:44","2016/12/22 15:09:44","","","","","","","","","","","","","","true","","","","true","true","0","false"
"227","26","dname","部门名称","VARCHAR","true","true","10","0","0","","","","left","","","","like","","","3","true","text","","true","","","","false","false","","","","","6YOo6Zeo5ZCN56ew","","0","2016/12/22 15:09:44","2016/12/22 15:09:44","","","","","","","","","","","","","true","true","true","","","true","true","0","false"
"228","26","short_name","单位简称","VARCHAR","true","true","300","0","0","","","","left","","","","","","","4","true","text","","false","","","","false","false","","","","","5Y2V5L2N566A56ew","","0","2016/12/22 15:09:44","2016/12/22 15:09:44","","","","","","","","","","","","","","","","","","true","true","0","false"
"229","26","pinyin","单位名称拼音","VARCHAR","true","true","300","0","0","","","","left","","","","","","","5","false","text","","false","","","","false","false","","","","","5Y2V5L2N5ZCN56ew5ou86Z+z","","0","2016/12/22 15:09:44","2016/12/22 15:09:44","","","","","","","","","","","","","","","","","","true","true","0","false"
"230","26","type","单位类型","VARCHAR","true","true","15","0","0","","","","left","","","","","","select lvalue from k_lookup where ltid='department_type' and lkey in (?)","6","true","selectpicker","","false","","","","false","false","/kconf/lookup/json?typeid=department_type","","","","5Y2V5L2N57G75Z6L","","0","2017/11/6 16:55:52","2016/12/22 15:09:44","","","","","","","","","","","","","","true","","","","true","true","0","false"
"231","26","nature","单位属性","VARCHAR","true","false","300","0","0","","","","left","","","","","","","300","false","selectpicker","","false","","","","false","false","/kconf/lookup/json?typeid=department_nature","","","","5Y2V5L2N5bGe5oCn","","0","2018/5/29 15:04:59","2016/12/22 15:09:44","","","","","","","","","","","","","","","","","","true","true","0","false"
"232","26","jcdwid","基层单位","BIGINT","true","true","7","0","0","","","","left","","","","","","select dname from k_department where id = ?","0","false","selectztree","","false","","","","false","false","/kconf/department/json_jcdw","","","","5Z+65bGC5Y2V5L2NaWQ=","","0","2017/11/22 15:22:03","2016/12/22 15:09:44","","","","","","","","","","","","","","true","false","","","true","true","0","false"
"233","26","sort","排序","INT","true","true","300","0","0","","","","left","","","","","","","9","true","text","","true","digits","","","false","false","","","","","5o6S5bqP","","0","2016/12/22 15:09:44","2016/12/22 15:09:44","","","","","","","","","","","","","","false","","","","true","true","0","false"
"234","27","menuid","菜单ID","VARCHAR","true","true","1","0","0","","","","left","","","","","","","1","true","text","","false","","","","false","false","","","","","6I+c5Y2VSUQ=","","0","2016/12/22 15:09:44","2016/12/22 15:09:44","","","","","","","","","","","","","","","","","","true","true","0","false"
